GPS_TIME (ms),LONG (deg),LAT (deg),ELEV (m),SPEED (m/s),SATELLITE_COUNT,GPS_ACCURACY (m),GPS_QUALITY,GNSS_POSITION_VALIDITY,SYSTEM_TIME (ms),ACCEL_X (m/s^2),ACCEL_Y (m/s^2),ACCEL_Z (m/s^2),PITCH_RATE (rad/s),ROLL_RATE (rad/s),YAW_RATE (rad/s),PITCH (rad),ROLL (rad),RPM,THROTTLE (%),BRAKES (kPa),STEERING (deg),GEAR_NUMBER,COOLANT_TEMPERATURE (°C),OIL_TEMPERATURE (°C),OIL_PRESSURE (kPa),FUEL_PRESSURE (kPa),INTAKE_AIR_TEMPERATURE (°C),MANIFOLD_ABSOLUTE_PRESSURE (kPa),ANALOG_1,ANALOG_2,ANALOG_3,ANALOG_4,DEVICE_TEMPERATURE (°C),DEVICE_BATTERY_TEMPERATURE (°C),RECORDED_SAMPLE_COUNT,MATH_GRID_X,MATH_GRID_Y,MATH_GRID_Z,MATH_GRID_X_DELTA,MATH_GRID_Y_DELTA,MATH_GRID_X_SPEED,MATH_GRID_Y_SPEED,MATH_GRID_X_ACCEL,MATH_GRID_Y_ACCEL,MATH_DISTANCE_FROM_PREV,MATH_ELAPSED_DISTANCE,MATH_CALC_SPEED,MATH_GNSS_SPEED_LAG,MATH_RADIUS,MATH_RADIUS_DIFFERENTIAL,MATH_TURN_NUMBER,MATH_TURN_NUMBER_BRAKE,MATH_TURN_NUMBER_ENTRY,MATH_TURN_NUMBER_EXIT,MATH_DETECTED_RADIUS,MATH_TURN_CENTER_X,MATH_TURN_CENTER_Y,MATH_TURN_DIRECTION,MATH_HEADING,MATH_ACCEL_2D_SUM,MATH_THROTTLE_DIFFERENTIAL,MATH_ELAPSED_TIME,MATH_DELTA_TIME,MATH_DELTA_TIME_DIFFERENTIAL,MATH_DELTA_DISTANCE,MATH_DELTA_DISTANCE_DIFFERENTIAL,MATH_SAMPLE_COUNT,MATH_SAMPLE_PERIOD,MATH_CALC_ACCEL_X,MATH_CALC_ACCEL_Y,MATH_CALC_ACCEL_2D_SUM,MATH_ACCEL_X_QUALITY,MATH_ACCEL_Y_QUALITY,MATH_FILTER_PITCH,MATH_FILTER_ROLL,MATH_ELAPSED_DISTANCE_NORMALIZED,MATH_RPM_SPEED_RATIO,MATH_RPM_SPEED_RATIO_STD_DEV,MATH_RPM_SPEED_RATIO_STD_DEV_GEAR_CHANGE_TH,MATH_CALC_GEAR_CHANGE,MATH_GEAR_NUMBER,MATH_LAP_NUMBER,MATH_LAP_ELAPSED_TIME,MATH_SECTOR_NUMBER,MATH_SECTOR_ELAPSED_TIME,MATH_USER_DEFINED_1,MATH_USER_DEFINED_2,MATH_USER_DEFINED_3,MATH_USER_DEFINED_4
1694016052509.0,-96.767761,40.84613,367.7107082332574,0.478332007116865,9.0,1.8,3.0,1.0,1694016029059.0,0.0,3.5303940773010254,-10.689248085021973,0.01745329238474369,-0.01745329238474369,0.01745329238474369,0.005208710241485531,0.04265507318364906,3046.0,100.0,0.0,8.0,0.0,-15.555555555555555,0.0,0.0,0.0,0.0,0.0,4.0,4.0,22.0,22.0,0.0,31.0,1.0,-568766.3773293277,-4792753.966206103,367.7107082332574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5705986927625691,0.09226668564570412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,3.5303940773010254,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6367.961906542056,0.0,382.0777143925233,0.0,1.0,3.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0
1694016052549.0,-96.767761,40.84612972727272,367.7134791423422,0.6685268975180734,9.0,1.8,3.0,0.0,1694016029099.5454,0.026745409570497536,3.5393091984718126,-10.626842150128795,0.01586662939338984,-0.01745329238474369,0.01586662939338984,0.00666773564056371,0.05125047899475044,3135.0000026524067,100.0,0.0,8.727272748947144,0.0,-15.555555555555555,0.0,0.0,0.0,0.0,0.0,4.545454561710358,4.545454561710358,22.0,22.0,0.0,31.0,0.0,-568766.3775217157,-4792753.998104753,367.7099165450536,0.0,-0.030325934290885925,0.0,-0.7581483572721481,1.252483363151037,-3.035840368547971,0.031899230503070315,0.031899230503070315,0.7974807625767579,0.12895386505868456,-0.44886605815302777,-0.011221651453825695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,3.539410250214049,9.495131233800517,40.0,-7.800134160185493,-33.83048525549434,0.0001923888357694489,0.0,2.0,40.0,-0.7053591393908748,2.739967275528001,2.829302420471621,-0.6786137298203773,0.7993419229438117,0.0014590253990781786,0.008595405811101374,0.03607561123526147,4689.414912535592,1186.911962002266,281.3648947521355,0.0,1.0,3.0,0.0,1.0,40.0,17.45454543828964,0.0,0.0,0.0
1694016052589.0,-96.767761,40.84612945454544,367.716250051427,0.8587217879192817,9.0,1.8,3.0,0.0,1694016029140.0908,0.05349081914099507,3.5482243196425998,-10.564436215235617,0.014279966402035993,-0.01745329238474369,0.014279966402035993,0.008126761039641888,0.05984588480585182,3224.0000053048134,100.0,0.0,9.454545497894287,0.0,-15.555555555555555,0.0,0.0,0.0,0.0,0.0,5.090909123420715,5.090909123420715,22.0,22.0,0.0,31.0,0.0,-568766.3777141037,-4792754.0300034,367.70912485684977,0.0,-0.06065186578780413,0.0,-0.758148287422955,1.6244157019678434,-3.233480930213788,0.031899226777847775,0.0637984572809181,0.7974806694461943,-0.06124111847308733,-0.34609192813341866,0.002569353250490228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,3.548627493867955,10.528123431980529,80.0,-15.600262002350888,-43.46389228781482,0.0003847776715388978,0.0,3.0,40.0,-0.7393263953884436,3.034597877310437,3.1233616178558443,-0.6858355762474485,0.5136264423321628,0.002918050798156357,0.017190811622202755,0.07215121874530041,3754.417380181652,1324.2831638201176,225.2650428108991,0.0,1.0,3.0,0.0,1.0,80.0,16.90909087657929,0.0,0.0,0.0
1694016052629.0,-96.767761,40.846129181818156,367.71902096051184,1.04891667832049,9.0,1.8,3.0,0.0,1694016029180.6365,0.08023622871149261,3.557139440813387,-10.502030280342439,0.012693303410682144,-0.01745329238474369,0.012693303410682144,0.009585786438720066,0.0684412906169532,3313.00000795722,100.0,0.0,10.18181824684143,0.0,-15.555555555555555,0.0,0.0,0.0,0.0,0.0,5.636363685131073,5.636363685131073,22.0,22.0,0.0,31.0,0.0,-568766.3779064916,-4792754.061902049,367.70833316864605,0.0,-0.09097779914736748,0.0,-0.7581483339890838,1.6936550668922041,-3.3214468918102487,0.03189922957176468,0.09569768685268278,0.797480739294117,-0.25143593902637296,-0.3319431714272236,0.0003537189176548758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,3.5580442456197785,10.915680584217682,120.0,-23.40039500267079,-50.616215202924664,0.0005771665073083466,0.0,4.0,40.0,-0.7866331878266734,3.1350393961738403,3.2322227317671643,-0.7063969591151807,0.42210004463954665,0.004377076197234535,0.025786217433304136,0.10822682904925623,3158.496834335733,1400.0551446489912,189.509810060144,0.0,1.0,3.0,0.0,1.0,120.0,16.36363631486892,0.0,0.0,0.0
1694016052669.0,-96.767761,40.84612890909088,367.72179186959664,1.2391115687216985,9.0,1.8,3.0,0.0,1694016029221.182,0.10698163828199014,3.566054561984174,-10.43962434544926,0.011106640419328295,-0.01745329238474369,0.011106640419328295,0.011044811837798246,0.07703669642805458,3402.0000106096268,100.0,0.0,10.909090995788574,0.0,-15.555555555555555,0.0,0.0,0.0,0.0,0.0,6.181818246841431,6.181818246841431,22.0,22.0,0.0,31.0,0.0,-568766.3780988796,-4792754.093800697,367.7075414804423,0.0,-0.12130373157560825,0.0,-0.7581483107060194,0.8480100413971404,-3.8051916666239927,0.03189922770915341,0.1275969145618362,0.7974806927288353,-0.4416308759928632,-0.6629605439221787,-0.008275434312373878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,3.5676589256790843,16.002541973151963,160.0,-31.20052943438779,-57.611892659253776,0.0007695553430777956,0.0,5.0,40.0,-0.8461510637128692,3.294935556163303,3.4018483125929637,-0.739169425430879,0.271119005820871,0.005836101596312714,0.03438162324440552,0.14430243749060082,2745.5154939108697,1442.413818265605,164.73092963465217,0.0,1.0,3.0,0.0,1.0,160.0,15.81818175315857,0.0,0.0,0.0
1694016052709.0,-96.767761,40.846128636363595,367.72456277868145,1.4293064591229068,9.0,1.8,3.0,0.0,1694016029261.7273,0.13372704785248768,3.5749696831549613,-10.377218410556083,0.009519977427974446,-0.01745329238474369,0.009519977427974446,0.012503837236876425,0.08563210223915596,3491.0000132620335,100.0,0.0,11.636363744735718,0.0,-15.555555555555555,0.0,0.0,0.0,0.0,0.0,6.727272808551788,6.727272808551788,22.0,22.0,0.0,31.0,0.0,-568766.3782912676,-4792754.125699346,367.7067497922385,0.0,-0.1516296649351716,0.0,-0.7581483339890838,1.0619173819858319,-3.810852481751563,0.03189922957176468,0.15949614413360086,0.797480739294117,-0.6318257198287898,-0.529417112616286,0.0033385857826473187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,3.577469938211141,19.39883041451687,200.0,-39.000654913223855,-65.89036904378489,0.0009619441788472444,0.0,6.0,40.0,-0.9064317789458559,3.3954669097912396,3.514372505209176,-0.7727047310933682,0.17950277336372178,0.007295126995390894,0.0429770290555069,0.18037804779455663,2442.443319961126,1465.1005800133382,146.54659919766755,0.0,1.0,3.0,0.0,1.0,200.0,15.27272719144821,0.0,0.0,0.0
1694016052749.0,-96.767761,40.84612836363632,367.72733368776625,1.619501349524115,9.0,1.8,3.0,0.0,1694016029302.2727,0.16047245742298522,3.5838848043257485,-10.314812475662904,0.007933314436620598,-0.01745329238474369,0.007933314436620598,0.013962862635954603,0.09422750805025733,3580.00001591444,100.0,0.0,12.363636493682861,0.0,-15.555555555555555,0.0,0.0,0.0,0.0,0.0,7.272727370262146,7.272727370262146,22.0,22.0,0.0,31.0,0.0,-568766.3784836555,-4792754.1575979935,367.70595810403466,0.0,-0.18195559736341238,0.0,-0.7581483107060194,1.2158451733157898,-3.8513697145071513,0.03189922770915341,0.19139537184275426,0.7974806927288353,-0.8220206567952798,-0.4623920961605026,0.001675625411394585,0.0,0.0,0.0,0.0,0.0,-22284230.30682071,-4792754.132998734,0.0,180.00000004000714,3.5874756724287877,21.18068148528935,240.0,-25.54758483007646,-75.24663501302854,0.0011543330146166933,0.0,7.0,40.0,-0.9640592417357984,3.502028844659438,3.6323017840486385,-0.8035867843128132,0.08185595966631043,0.008754152394469071,0.051572434866608265,0.21645365623590118,2210.5569822256775,1475.5659963657934,132.63341893354064,0.0,1.0,3.0,0.0,1.0,240.0,14.72727262973786,0.0,0.0,0.0
1694016052789.0,-96.767761,40.846128090909126,367.7301045959427,1.8096961775745815,9.0,1.8,3.0,0.0,1694016029342.818,0.1872178582256545,3.5927999225739313,-10.252406561227986,0.006346651965415395,-0.01745329238474369,0.006346651965415395,0.015421887556726997,0.1028229110435652,3668.9999893903732,100.0,0.0,13.090909004211426,0.0,-15.555555555555555,0.0,0.0,0.0,0.0,0.0,7.818181753158569,7.818181753158569,22.0,22.0,0.0,31.0,0.0,-568766.3786760436,-4792754.216712219,367.70516641492253,-0.00000000011641532182693481,-0.2394971065223217,-0.0000000029103830456733704,-1.438537728972733,1.6681856933316714,-4.215805128613832,0.05911453827278184,0.2505099101155361,1.477863456819546,-0.33183272075503556,-1.2771203335683747,-0.020368205935196802,0.0,0.0,0.0,0.0,0.0,27872725.64669388,-4792754.234473965,0.0,180.00000005795903,3.5976745002968027,2.814658253690519,280.0,-29.62514492627463,-87.12195756235143,0.0013467210708083348,0.0,8.0,40.0,-1.006039091833048,4.0282876459087325,4.1520134889565545,-0.8188212336073935,-0.4354877233348011,0.010213177315241465,0.06016783785991613,0.27974457524087415,2027.4121340675517,1478.1527238401363,121.6447280440531,0.0,1.0,3.0,0.0,1.0,280.0,14.18181824684143,0.0,0.0,0.0
1694016052829.0,-96.767761,40.846127818181756,367.7328755059359,1.9998911303265319,9.0,1.8,3.0,0.0,1694016029383.3635,0.2139632765639803,3.601715046667323,-10.190000605876548,0.0047599884539129,-0.01745329238474369,0.0047599884539129,0.01688091343411096,0.11141831967246008,3758.0000212192535,100.0,0.0,13.818181991577148,0.0,-15.555555555555555,0.0,0.0,0.0,0.0,0.0,8.363636493682861,8.363636493682861,22.0,22.0,0.0,31.0,0.0,-568766.3788684317,-4792754.275826445,367.70437472762717,-0.00000000011641532182693481,-0.29703861754387617,0.0,-1.4385377755388618,1.6567635965876195,-4.424990128974954,0.05911453920409948,0.30962444931963556,1.477863480102487,-0.5220276502240448,-1.2859251783710364,-0.00022012112006654095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,3.608064794471933,-13.136534016490902,320.0,-29.37401868905613,-98.1528965922852,0.0015391092832021545,0.0,9.0,40.0,-1.0461089228720863,4.2259596873206355,4.353513426805035,-0.8321456463081061,-0.6242446406533126,0.011672203192625429,0.06876324648881102,0.3430354951771648,1879.1022992364924,1475.5302442922682,112.74613795418954,0.0,1.0,3.0,0.0,1.0,320.0,13.63636350631714,0.0,0.0,0.0
1694016052869.0,-96.767761,40.846127545454564,367.73564641411235,2.190085958376998,9.0,1.8,3.0,0.0,1694016029423.9092,0.24070867736664958,3.6106301649155057,-10.12759469144163,0.0031733259827076976,-0.01745329238474369,0.0031733259827076976,0.018339938354883352,0.12001372266576793,3846.9999946951866,100.0,0.0,14.545454502105713,0.0,-15.555555555555555,0.0,0.0,0.0,0.0,0.0,8.909090876579285,8.909090876579285,22.0,22.0,0.0,31.0,0.0,-568766.3790608196,-4792754.344012533,367.703583038515,-0.00000000011641532182693481,-0.36365198995918036,0.0,-1.6653343103826046,1.6083529456116528,-4.560319246337852,0.06818635987721673,0.3778108091968523,1.7046589969304182,-0.4854269614465798,-1.7961459160567703,-0.012755518442143348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,3.618644892104968,-19.762772785673036,360.0,-29.177625499019427,-106.90526293019435,0.001731497299229215,0.0,10.0,40.0,-1.06828109905402,4.338121036582578,4.467719623548054,-0.8275724216873703,-0.7274908716670723,0.01313122811339782,0.07735864948211887,0.41539823578657264,1756.5520567722713,1469.4078330888856,105.39312340633627,0.0,1.0,3.0,0.0,1.0,360.0,13.09090912342072,0.0,0.0,0.0
